namespaceUri.href;namespaceUri.text;index;url
"http://stats.lod2.eu/vocabularies/290;"http://purl.org/openorg/";"47";"http://stats.lod2.eu/vocabularies?page=1"
"http://stats.lod2.eu/vocabularies/544;"http://schemas.talis.com/2009/events/";"48";"http://stats.lod2.eu/vocabularies?page=1"
"http://stats.lod2.eu/vocabularies/3401;"http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core";"49";"http://stats.lod2.eu/vocabularies?page=1"
"http://stats.lod2.eu/vocabularies/3402;"http://www.w3.org/2005/11/its/rdf";"50";"http://stats.lod2.eu/vocabularies?page=1"
"http://stats.lod2.eu/vocabularies/24;"http://usefulinc.com/ns/doap";"51";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/747;"http://spcdata.digitpa.gov.it/";"52";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/30;"http://purl.org/goodrelations/v1";"53";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/3449;"http://elpo.stat.gov.rs/lod2/RS-DIC/rs/";"54";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/118;"http://www.w3.org/1999/xhtml/vocab";"55";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/475;"http://www.w3.org/ns/locn";"56";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/76;"http://swrc.ontoware.org/ontology";"57";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/461;"http://dbpedia.org/ontology/";"58";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/293;"http://purl.org/vocab/vann/";"59";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/13;"http://www.w3.org/2003/06/sw-vocab-status/ns";"60";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/432;"http://purl.org/linked-data/api/vocab";"61";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/468;"http://purl.org/vocab/lifecycle/schema";"62";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/476;"http://www.w3.org/ns/adms";"63";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/317;"http://data.semanticweb.org/ns/swc/ontology";"64";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/27;"http://semantic-mediawiki.org/swivt/1.0";"65";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/549;"http://purl.org/rss/1.0/";"66";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/419;"http://schema.org/";"67";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/146;"http://www.w3.org/2007/05/powder-s";"68";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/23;"http://lexvo.org/ontology";"69";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/85;"http://purl.org/NET/c4dm/timeline.owl";"70";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/81;"http://opendatacommunities.org/def/IMD";"71";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/115;"http://www.w3.org/2008/05/skos";"72";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/59;"http://purl.org/NET/c4dm/event.owl";"73";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/32;"http://www.w3.org/ns/dcat";"74";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/106;"http://purl.org/vocab/frbr/core";"75";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/729;"http://purl.org/rss/1.0/modules/content/";"76";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/5176;"http://gnoss.com/gnoss.owl";"77";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/413;"http://rdvocab.info/Elements/";"78";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/537;"http://webns.net/mvcb/";"79";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/300;"http://eprints.org/relation/";"80";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/302;"http://eprints.org/ontology/";"81";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/8;"http://www.w3.org/2008/05/skos-xl";"82";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/308;"http://www.openarchives.org/ore/terms/";"83";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/442;"http://www.w3.org/2006/03/wn/wn20/schema/";"84";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/437;"http://dbpedia.org/property/";"85";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/346;"http://www.aktors.org/ontology/extension";"86";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/303;"http://www.loc.gov/loc.terms/relators/";"87";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/40;"http://purl.org/net/provenance/ns";"88";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/9;"http://purl.org/dc/terms";"89";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/5828;"http://www.dataponteopen.it/tool-admin/cms/";"90";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/429;"http://www.w3.org/ns/sparql-service-description";"91";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/381;"http://web.resource.org/cc/";"92";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/535;"http://d-nb.info/standards/elementset/gnd";"93";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/325;"http://iflastandards.info/ns/isbd/elements/";"94";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/25;"http://purl.org/dc/elements/1.1";"95";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/142;"http://www.w3.org/2001/vcard-rdf/3.0";"96";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/110;"http://purl.org/net7/vocab/gracc/v1";"97";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/361;"http://statistics.data.gov.uk/def/administrative-geography/";"98";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/374;"http://www.lexinfo.net/ontology/2.0/lexinfo";"99";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/436;"http://data.ordnancesurvey.co.uk/ontology/geometry/";"100";"http://stats.lod2.eu/vocabularies?page=2"
"http://stats.lod2.eu/vocabularies/547;"http://data.kasabi.com/dataset/global-hunger-index/structure/";"101";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/41;"http://www.semanticdesktop.org/ontologies/2007/03/22/nfo";"102";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/5;"http://xmlns.com/foaf/0.1";"103";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/364;"http://research.data.gov.uk/def/project/";"104";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/209;"http://purl.org/dc";"105";"http://stats.lod2.eu/vocabularies?page=3"
"http://stats.lod2.eu/vocabularies/186;"http://purl.org/net7/vocab/locs/v1";"106";"http://stats.lod2.eu/vocabularies?page=3"
